DateCode,FeatureName,Energy Consuming Sector,Value
2007,East Dunbartonshire,Industrial,285.262
2007,East Dunbartonshire,Industrial & Commercial,223.936
2007,East Dunbartonshire,Public Sector,0.867
2007,East Dunbartonshire,Rail,7.133
2007,East Dunbartonshire,Road Transport,500.741
2007,East Lothian,Agriculture,34.922
2007,East Lothian,Commercial,306.378
2007,East Lothian,Domestic,943.899
2007,East Lothian,Industrial,1289.755
2007,East Lothian,Industrial & Commercial,299.821
2007,East Lothian,Public Sector,2.321
2007,East Lothian,Rail,34.427
2007,East Lothian,Road Transport,779.366
2007,East Renfrewshire,Agriculture,13.868
2007,East Renfrewshire,Commercial,98.84
2007,East Renfrewshire,Domestic,991.8159999999999
2007,East Renfrewshire,Industrial,135.842
2007,East Renfrewshire,Industrial & Commercial,86.55
2007,East Renfrewshire,Public Sector,0.557
2007,East Renfrewshire,Rail,2.571
2007,East Renfrewshire,Road Transport,627.019
2007,Falkirk,Agriculture,21.125999999999998
2007,Falkirk,Commercial,635.373
2007,Falkirk,Domestic,1484.285
2007,Falkirk,Industrial,17090.221
2007,Falkirk,Industrial & Commercial,478.958
2007,Falkirk,Public Sector,7.127999999999999
2007,Falkirk,Rail,17.462
2007,Falkirk,Road Transport,1315.007
2007,Fife,Agriculture,81.749
2007,Fife,Commercial,2255.258
2007,Fife,Domestic,3792.701
2007,Fife,Industrial,8166.235
2007,Fife,Industrial & Commercial,1048.282
2007,Fife,Public Sector,15.06
2007,Fife,Rail,82.66
2007,Fife,Road Transport,2390.19
2007,Glasgow City,Agriculture,3.591
2007,Glasgow City,Commercial,2218.867
2007,Glasgow City,Domestic,4886.351000000001
2007,Glasgow City,Industrial,3073.108
2007,Glasgow City,Industrial & Commercial,2073.431
2007,Glasgow City,Public Sector,4.815
2007,Glasgow City,Rail,12.989
2007,Glasgow City,Road Transport,3295.544
2007,Highland,Agriculture,277.32
2007,Highland,Commercial,736.78
2007,Highland,Domestic,2236.604
2007,Highland,Industrial,1496.2359999999999
2007,Highland,Industrial & Commercial,1030.779
2007,Highland,Public Sector,87.721
2007,Highland,Rail,59.515
2007,Highland,Road Transport,2054.753
2007,Inverclyde,Agriculture,6.886
2007,Inverclyde,Commercial,193.759
2007,Inverclyde,Domestic,778.1270000000001
2007,Inverclyde,Industrial,262.039
2007,Inverclyde,Industrial & Commercial,205.665
2007,Inverclyde,Public Sector,1.363
2007,Inverclyde,Rail,0.196
